OrderID,CustomerID,OrderDate,Status,ProductID,Quantity,TotalPrice
1,169,2025-01-10 02:18:09.512340,Incomplete,60,3,854.34
2,710,2024-12-29 18:53:19.835267,Complete,637,5,1785.7
3,44,2023-05-13 06:41:20.466851,Incomplete,656,4,1830.48
4,579,2024-12-31 11:13:16.403084,Incomplete,384,4,1198.88
5,324,2024-11-24 22:32:59.816978,Incomplete,789,4,849.72
6,589,2024-11-06 18:38:15.266546,Complete,134,3,27.66
7,567,2024-06-05 00:02:31.513220,Complete,740,2,619.42
8,415,2023-03-09 03:55:10.738481,Complete,30,3,974.16
9,832,2025-01-12 17:29:13.623156,Incomplete,404,4,1263.2
10,437,2024-07-25 18:35:24.211108,Complete,318,4,343.4
11,775,2024-06-07 09:00:43.082261,Complete,151,1,458.97
12,898,2024-05-13 21:31:29.714836,Complete,597,5,1860.3
13,14,2023-06-02 02:27:53.923723,Complete,795,1,158.96
14,83,2024-03-27 23:55:16.717375,Complete,842,3,666.93
15,564,2023-12-21 19:57:01.392705,Complete,457,4,989.6
16,391,2023-07-08 09:49:56.194681,Complete,178,4,1796.28
17,380,2024-08-18 16:52:07.333746,Complete,97,4,1883.84
18,432,2023-12-20 16:09:16.468645,Complete,79,5,2058.95
19,362,2023-02-09 23:19:30.167629,Incomplete,943,5,643.7
20,458,2023-09-11 03:44:06.235870,Complete,915,5,624.95
21,793,2024-05-26 13:05:50.182184,Incomplete,533,3,990.81
22,831,2024-09-02 16:01:52.366963,Complete,333,3,935.46
23,887,2023-10-07 18:31:53.902809,Complete,138,1,226.87
24,803,2025-01-21 11:49:39.798714,Complete,6,4,1454.6
25,885,2024-03-29 11:39:17.636491,Incomplete,372,3,1433.1
26,686,2024-05-27 20:07:13.238318,Complete,77,1,302.53
27,349,2023-03-08 02:08:14.417003,Complete,881,1,166.35
28,695,2023-01-29 09:45:51.773392,Complete,163,2,238.18
29,367,2023-03-18 11:59:15.414936,Incomplete,472,2,214.66
30,387,2023-12-03 01:24:39.216237,Complete,691,3,1472.07
31,933,2025-01-06 15:31:22.517936,Complete,914,4,470.6
32,173,2023-09-13 13:49:28.624651,Complete,301,3,1193.25
33,394,2023-12-19 18:57:42.481474,Incomplete,256,2,959.6
34,189,2025-01-21 14:22:03.253511,Complete,874,1,373.02
35,430,2024-12-16 19:21:02.927248,Incomplete,185,3,142.23
36,591,2024-09-22 08:25:50.767201,Complete,373,2,127.02
37,368,2024-03-06 08:49:52.062897,Incomplete,535,4,408.88
38,1,2023-07-18 10:00:46.750239,Complete,276,2,154.94
39,797,2023-12-30 14:35:32.512462,Complete,664,3,437.49
40,725,2025-01-10 03:48:07.147846,Complete,230,5,1868.1
41,15,2024-09-06 13:24:01.042976,Incomplete,983,4,445.16
42,209,2024-06-23 06:55:45.953793,Incomplete,378,5,324.5
43,938,2024-11-09 23:31:03.117379,Incomplete,374,2,31.0
44,168,2023-07-28 02:58:15.249312,Complete,541,5,796.7
45,230,2024-11-03 14:37:32.159698,Complete,332,2,44.06
46,426,2024-06-29 01:36:50.148723,Complete,806,5,1523.55
47,36,2023-11-18 08:10:04.240129,Incomplete,27,3,859.29
48,196,2023-05-13 14:35:54.490400,Complete,761,4,343.48
49,20,2024-01-27 05:45:50.375233,Incomplete,794,2,672.74
50,338,2023-05-22 13:49:26.422137,Complete,100,5,837.6
51,993,2024-04-04 09:38:00.896826,Incomplete,553,2,109.28
52,395,2023-12-03 17:20:24.490063,Incomplete,735,4,226.32
53,476,2024-11-07 15:02:37.052604,Complete,473,2,603.34
54,622,2024-09-26 15:02:35.400270,Complete,851,3,442.02
55,90,2023-03-01 07:10:30.580537,Complete,578,3,1145.16
56,850,2023-08-23 07:47:15.458480,Incomplete,21,1,344.26
57,304,2024-05-23 03:18:00.266045,Incomplete,685,1,388.95
58,545,2024-02-05 04:59:54.789789,Complete,605,1,213.29
59,177,2023-11-19 18:42:44.968647,Incomplete,71,3,551.43
60,265,2023-04-17 10:43:51.625727,Complete,121,2,750.46
61,850,2024-03-24 18:11:53.977933,Incomplete,726,1,153.37
62,950,2024-04-29 03:48:21.553180,Incomplete,617,5,1402.85
63,711,2023-05-14 05:42:41.889840,Complete,784,1,198.82
64,345,2024-11-30 17:46:52.512651,Complete,437,4,1283.28
65,483,2023-12-02 07:44:17.246386,Complete,535,1,164.54
66,182,2024-05-13 14:12:24.967702,Incomplete,31,2,163.24
67,120,2024-04-03 06:52:57.880758,Incomplete,154,1,296.32
68,798,2024-01-19 17:14:49.210927,Incomplete,621,2,616.06
69,797,2023-12-19 13:59:08.970645,Incomplete,122,4,567.44
70,296,2025-01-07 15:59:39.158067,Incomplete,481,1,339.46
71,363,2024-08-21 23:53:51.998715,Incomplete,260,2,801.68
72,308,2024-04-06 06:14:21.696224,Complete,422,3,728.46
73,251,2024-11-25 02:03:26.330915,Incomplete,588,5,730.15
74,636,2024-06-27 19:21:09.317320,Incomplete,180,1,210.32
75,460,2023-04-26 01:45:44.294778,Incomplete,754,3,159.06
76,200,2023-02-07 07:05:44.257351,Complete,126,2,291.82
77,989,2023-11-03 01:57:52.612780,Incomplete,488,1,121.83
78,449,2024-07-03 07:23:30.815561,Incomplete,839,4,1713.64
79,590,2023-11-13 07:23:41.579930,Incomplete,628,1,92.65
80,436,2024-02-19 22:35:19.914551,Incomplete,729,5,503.95
81,806,2023-05-05 07:16:58.863609,Complete,928,1,7.05
82,586,2024-11-26 01:26:48.731064,Incomplete,842,4,182.08
83,481,2024-05-06 13:29:42.135481,Incomplete,993,2,574.92
84,339,2023-05-14 13:37:53.130225,Complete,706,2,515.0
85,642,2023-06-24 12:22:30.245560,Incomplete,199,5,2402.4
86,790,2024-10-06 00:17:33.151152,Incomplete,877,5,2039.1
87,991,2023-12-05 14:55:47.597445,Complete,249,1,447.99
88,816,2023-05-27 17:22:58.824222,Incomplete,678,1,110.59
89,918,2024-08-12 04:10:41.189217,Complete,840,5,663.95
90,665,2023-11-03 02:33:24.886994,Complete,421,4,1842.24
91,45,2024-01-26 23:56:42.028057,Complete,496,4,1971.16
92,360,2023-03-22 23:03:29.131994,Complete,261,1,248.55
93,938,2024-07-29 09:46:48.946012,Complete,565,3,960.03
94,485,2023-06-23 00:45:26.669499,Complete,135,5,614.9
95,605,2024-04-03 10:24:58.645677,Complete,124,5,2336.4
96,835,2024-10-26 18:20:42.077434,Complete,396,4,1508.36
97,170,2024-03-23 03:13:52.540027,Incomplete,720,5,493.4
98,919,2023-12-25 05:57:31.914374,Complete,617,2,826.86
99,320,2025-01-18 17:11:58.204885,Complete,184,2,41.42
100,576,2024-08-27 15:54:22.992127,Incomplete,673,3,651.96
101,414,2024-09-26 16:29:31.790896,Complete,17,1,424.11
102,737,2024-09-08 03:07:09.066131,Complete,76,2,975.52
103,640,2024-01-13 16:59:03.578081,Incomplete,660,4,677.92
104,464,2023-03-30 08:34:17.466039,Incomplete,404,5,2455.65
105,300,2024-11-23 23:00:37.785965,Incomplete,331,1,435.39
106,461,2023-08-14 15:25:10.932446,Incomplete,532,1,126.13
107,135,2024-10-31 17:18:53.869913,Incomplete,893,1,479.41
108,379,2023-12-26 23:59:19.499349,Complete,804,2,583.3
109,561,2024-05-13 04:41:47.989679,Incomplete,414,3,733.02
110,26,2024-06-06 06:18:57.759843,Incomplete,473,1,386.07
111,198,2023-07-07 05:32:20.144046,Complete,254,2,40.0
112,398,2024-02-02 19:45:30.220106,Incomplete,8,1,498.37
113,53,2024-12-19 22:04:42.291309,Complete,488,1,90.56
114,306,2024-06-24 11:25:09.232879,Incomplete,24,2,643.2
115,133,2024-05-02 13:23:25.365529,Complete,883,3,647.49
116,337,2024-05-05 16:09:40.378495,Complete,987,3,440.82
117,585,2023-07-10 10:20:13.930407,Complete,458,1,287.43
118,888,2024-03-09 09:51:02.392866,Incomplete,820,1,455.27
119,976,2023-02-18 11:10:24.232775,Complete,467,4,1745.76
120,558,2024-10-21 06:38:25.959927,Incomplete,57,2,631.82
121,894,2023-04-30 19:47:06.546443,Incomplete,671,1,293.12
122,32,2023-10-21 14:19:41.804006,Incomplete,424,2,87.5
123,501,2024-02-04 23:24:45.030218,Complete,112,2,223.94
124,664,2023-01-31 11:34:04.726347,Complete,863,4,1106.0
125,816,2023-08-23 22:08:03.361097,Incomplete,41,1,353.05
126,875,2024-08-07 19:09:03.922117,Incomplete,928,4,1194.76
127,280,2024-08-16 17:17:59.176665,Incomplete,286,2,308.64
128,852,2024-11-13 10:16:45.735082,Complete,545,2,358.9
129,612,2023-12-19 21:24:26.715395,Incomplete,301,2,209.82
130,462,2024-03-29 18:11:44.349058,Complete,148,1,440.57
131,647,2024-02-21 03:02:36.234793,Complete,995,5,2077.75
132,114,2024-05-17 18:55:36.653374,Complete,40,1,230.68
133,565,2024-12-01 02:14:21.568004,Complete,881,2,534.12
134,17,2024-07-27 03:04:52.235913,Incomplete,78,2,860.56
135,94,2024-12-28 07:45:41.472242,Complete,308,5,2093.8
136,244,2023-06-03 23:07:44.411722,Complete,367,4,872.76
137,475,2023-07-18 11:53:54.517621,Complete,386,2,746.22
138,65,2023-03-19 19:24:52.422480,Incomplete,607,5,1186.55
139,488,2024-07-29 10:21:01.464516,Complete,661,3,1150.05
140,581,2023-12-29 05:57:59.868888,Incomplete,507,5,1506.75
141,170,2023-09-25 08:36:21.194371,Incomplete,877,1,302.75
142,646,2025-01-09 01:49:55.114659,Complete,184,1,378.25
143,640,2023-04-12 16:03:34.905793,Incomplete,743,5,1955.0
144,23,2024-10-20 03:46:57.911570,Incomplete,989,5,1679.45
145,834,2024-09-15 17:50:53.673567,Incomplete,987,3,775.44
146,971,2024-08-31 00:28:26.842278,Complete,724,1,267.39
147,931,2023-03-26 07:12:04.625580,Complete,884,2,44.58
148,713,2024-11-06 16:01:51.109683,Incomplete,119,3,738.24
149,767,2024-08-27 01:24:14.048045,Incomplete,929,3,795.72
150,646,2024-08-01 00:33:04.975328,Incomplete,394,5,1015.6
151,721,2024-03-02 12:25:25.645248,Complete,130,5,533.1
152,390,2023-06-23 09:15:14.887228,Complete,142,2,993.82
153,535,2023-10-28 12:03:49.726376,Complete,163,5,1814.0
154,353,2023-10-01 14:56:16.221622,Incomplete,492,4,919.2
155,813,2024-12-06 01:48:42.543561,Complete,677,3,184.02
156,321,2023-04-09 05:17:03.066949,Incomplete,963,4,666.24
157,222,2023-12-28 19:22:06.330871,Incomplete,571,2,13.8
158,915,2024-11-10 03:04:20.628359,Complete,58,1,179.24
159,659,2025-01-06 00:24:47.620417,Incomplete,644,1,131.76
160,724,2024-09-03 15:47:49.819620,Complete,42,1,355.58
161,729,2024-04-06 12:57:39.604074,Incomplete,162,5,954.75
162,848,2024-11-29 00:41:26.657377,Complete,61,5,218.75
163,990,2023-10-08 01:21:29.888574,Complete,368,3,921.0
164,824,2024-11-12 06:42:46.822334,Incomplete,959,4,1769.8
165,632,2024-02-02 00:26:31.343167,Incomplete,574,1,334.9
166,65,2023-03-05 13:01:08.469155,Complete,840,3,83.58
167,976,2023-03-23 19:47:07.870428,Incomplete,992,2,684.44
168,703,2024-07-01 11:50:35.959811,Complete,314,2,626.54
169,897,2023-12-11 12:17:28.941380,Complete,413,1,268.93
170,580,2023-08-26 22:02:02.104460,Incomplete,381,4,1396.08
171,541,2024-01-25 01:37:31.508988,Complete,480,1,29.36
172,815,2023-02-02 23:21:10.595831,Complete,750,1,10.07
173,710,2023-02-06 01:35:14.806766,Incomplete,661,5,2119.05
174,542,2023-11-24 14:31:18.730036,Complete,771,1,293.05
175,649,2023-11-02 17:52:57.432116,Incomplete,479,2,941.26
176,690,2024-05-07 16:14:38.701339,Incomplete,225,1,331.49
177,503,2024-06-14 11:50:14.323590,Complete,15,5,1170.85
178,611,2024-03-04 22:42:19.541370,Complete,734,3,644.76
179,251,2024-02-07 01:08:10.838346,Complete,485,4,869.36
180,959,2024-12-14 23:54:19.763937,Incomplete,132,5,2458.1
181,276,2023-09-13 16:36:36.403675,Incomplete,230,3,920.46
182,552,2023-08-24 09:42:08.682907,Complete,433,1,63.97
183,683,2023-05-11 14:34:01.399383,Complete,231,2,452.48
184,164,2023-09-15 01:39:13.582531,Complete,900,5,1252.1
185,85,2023-02-09 15:20:20.087276,Incomplete,989,1,192.84
186,948,2024-01-08 05:11:01.853054,Complete,51,2,957.38
187,590,2023-05-31 15:47:12.065617,Incomplete,308,3,980.1
188,956,2024-05-27 07:46:46.524325,Complete,579,1,181.27
189,233,2024-02-25 15:00:05.623340,Incomplete,960,3,1235.49
190,790,2023-12-01 03:11:59.914222,Complete,367,1,416.03
191,488,2023-04-21 02:35:35.613114,Complete,639,2,751.56
192,661,2023-06-24 03:12:40.249764,Incomplete,168,4,1549.56
193,214,2023-11-11 15:42:29.612953,Complete,656,1,422.24
194,762,2024-06-29 08:42:00.843899,Incomplete,234,2,957.62
195,409,2023-11-14 23:32:40.747783,Complete,517,3,845.31
196,851,2024-01-24 22:13:17.531512,Incomplete,392,4,1591.36
197,499,2023-07-11 22:29:40.918420,Complete,125,5,1691.15
198,683,2024-03-26 22:22:47.520437,Complete,473,3,1293.81
199,668,2025-01-25 11:57:07.907306,Complete,720,2,837.14
200,58,2023-08-08 22:14:45.019894,Complete,513,2,317.88
201,145,2023-02-18 19:23:13.950395,Incomplete,904,3,1064.82
202,630,2023-10-22 03:19:12.823421,Incomplete,792,5,867.35
203,696,2023-04-13 17:02:23.057072,Complete,333,4,1289.56
204,867,2023-02-19 17:52:36.005206,Complete,447,4,1509.6
205,545,2024-09-20 12:57:18.708889,Incomplete,416,3,981.06
206,761,2024-02-02 17:16:58.733454,Incomplete,518,3,771.0
207,243,2024-08-09 06:29:29.306354,Incomplete,443,4,630.0
208,801,2024-09-03 06:46:06.408400,Complete,841,5,550.8
209,455,2023-04-04 17:18:09.375293,Complete,321,4,1290.36
210,14,2024-09-05 19:23:39.232383,Incomplete,452,2,495.48
211,380,2023-05-22 18:50:18.349438,Complete,920,1,203.87
212,753,2024-02-06 17:32:29.645768,Incomplete,107,1,5.76
213,429,2024-01-27 11:00:39.629551,Incomplete,136,1,437.55
